stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score
6667,信紘科,276.0,2.49,6.36,10.28,7.22,68.6,2,41.3,561949.0,0.0,557915.0,0.0,True,True,25.4,85.03,52.23
5536,聖暉*,822.0,1.82,4.31,15.09,44.43,66.9,2,60.1,2711287.0,-328000.0,3265371.0,-289685.0,True,True,27.15,76.9,49.54
8111,立碁電子,70.7,1.65,2.91,10.79,6.72,63.3,4,-8.5,1013000.0,0.0,2768400.0,0.0,True,True,27.33,75.7,49.1
4743,合一,54.6,1.52,2.82,2.38,1.24,51.0,4,128.8,383800.0,0.0,583850.0,0.0,True,True,18.5,84.9,48.38
3217,優群科技,162.0,2.58,3.51,4.06,3.19,60.6,3,4.9,-60150.0,43000.0,-57150.0,55000.0,True,True,19.78,80.88,47.28
3357,臺慶科,168.5,1.96,2.43,8.71,10.27,59.8,2,12.1,253300.0,0.0,480488.0,0.0,True,True,19.24,78.19,45.77
8289,泰藝電子,42.95,2.08,6.44,16.85,4.58,64.7,2,1.9,640600.0,0.0,614600.0,0.0,True,True,31.33,51.85,40.56
3227,原相科技,190.5,1.55,0.0,0.08,2.38,50.4,3,-5.4,62840.0,3000.0,311033.0,4574.0,True,True,10.59,76.0,40.02
4903,聯光通信,49.1,1.58,3.04,9.18,6.49,60.8,1,25.3,53001.0,0.0,-1391999.0,0.0,True,True,16.46,54.29,33.48
8358,金居開發,333.5,1.83,5.71,32.29,266.48,72.5,8,42.8,8041959.0,582000.0,13803789.0,3094000.0,True,False,54.28,,29.85
6683,雍智科技,1910.0,0.21,6.41,45.86,4.5,74.9,5,45.3,81303.0,-8000.0,137645.0,-8000.0,True,False,48.34,,26.59
3152,璟德電子,172.5,2.17,9.87,18.79,6.35,66.1,6,-1.0,295500.0,0.0,432500.0,0.0,True,False,38.51,,21.18
5274,信驊,13875.0,0.86,6.69,22.59,36.64,71.0,3,63.6,15246.0,12602.0,-102099.0,57734.0,True,False,38.12,,20.97
5439,高技企業,396.5,0.81,9.99,35.27,41.37,75.0,7,60.3,1873988.0,426000.0,4660338.0,3496000.0,True,False,37.8,,20.79
3221,台灣嘉碩,41.55,1.34,9.92,23.45,6.37,63.2,4,-4.5,2058000.0,0.0,3939900.0,0.0,True,False,35.55,,19.55
6173,信昌電陶,76.3,1.83,4.09,20.16,17.02,70.3,2,12.7,4280260.0,0.0,3959260.0,0.0,True,False,32.09,,17.65
1785,光洋科技,140.0,2.94,0.36,49.89,115.43,82.0,1,95.6,5674592.0,108000.0,5172122.0,108000.0,True,False,31.83,,17.51
6419,京晨科,124.0,3.12,2.06,39.19,2.43,76.6,1,174.2,199000.0,0.0,193000.0,0.0,True,False,30.9,,17.0
6187,萬潤,1135.0,3.16,9.66,39.07,100.21,72.6,2,19.6,-1623601.0,704000.0,-1754466.0,702434.0,True,False,30.45,,16.75
3339,泰谷光電,57.3,0.73,9.98,53.41,4.43,82.6,1,54.1,101000.0,0.0,638400.0,0.0,True,False,29.54,,16.25
6613,朋億*,245.5,1.73,4.25,19.78,3.06,74.4,1,65.2,175000.0,-5714.0,115100.0,61022.0,True,False,28.58,,15.72
3081,聯亞,2315.0,1.33,6.44,36.19,110.3,71.2,1,89.3,210082.0,-345000.0,-519789.0,-739225.0,True,False,28.42,,15.63
8155,博智,358.5,0.81,9.97,41.13,16.04,76.4,2,32.9,672140.0,0.0,939174.0,-10000.0,True,False,28.32,,15.58
6739,竹陞科技,1625.0,1.26,9.8,31.95,24.96,71.5,2,87.8,-129302.0,20000.0,-408869.0,58000.0,True,False,27.72,,15.25
8043,蜜望實,85.6,2.54,0.71,18.92,21.49,68.0,1,170.5,476000.0,0.0,-948000.0,0.0,True,False,26.04,,14.32
4979,華星光,533.0,1.36,9.9,31.95,66.86,72.3,1,20.2,1843196.0,0.0,1459098.0,-212000.0,True,False,24.95,,13.72
6175,立敦科技,62.4,1.32,9.86,28.88,8.59,72.8,2,18.9,1787000.0,0.0,2564050.0,0.0,True,False,24.8,,13.64
4721,美琪瑪,85.6,1.57,6.6,19.01,3.41,78.2,2,121.1,567999.0,0.0,-21001.0,0.0,True,False,24.71,,13.59
6664,群翊,430.0,1.1,7.63,38.41,17.85,79.1,1,22.9,327970.0,0.0,-105100.0,36000.0,True,False,23.31,,12.82
6530,創威,104.5,1.29,10.0,19.23,8.71,65.5,1,10.6,2483500.0,0.0,1567500.0,0.0,True,False,22.03,,12.12
6510,精測,3605.0,2.06,7.29,3.86,55.7,55.4,2,25.5,387838.0,-33200.0,457416.0,-311584.0,True,False,18.93,,10.41
3363,上詮,822.0,1.19,9.89,25.81,45.57,67.9,1,-25.7,705081.0,0.0,-464558.0,22000.0,True,False,18.39,,10.11
6146,耕興,212.5,1.75,3.66,7.15,2.69,68.4,1,6.5,95000.0,0.0,480000.0,0.0,True,False,15.3,,8.42
5864,致和證,25.35,1.28,1.81,3.85,0.81,57.8,2,,854000.0,0.0,1337000.0,0.0,True,False,12.45,,6.85
3691,碩禾,120.0,1.98,-3.61,5.48,4.62,55.8,2,168.9,418000.0,0.0,506000.0,0.0,True,False,10.53,,5.79
6244,茂迪,29.6,2.43,9.83,0.81,6.36,55.8,3,5.1,1231806.0,0.0,4579509.0,0.0,True,False,9.92,,5.46
4123,晟德,41.55,1.76,3.23,-2.36,2.23,49.6,9,55.6,1080000.0,4000.0,548552.0,11000.0,False,True,,81.41,36.63
5371,中強光電,75.2,1.19,1.21,-2.12,2.93,45.1,3,7.8,229999.0,-235000.0,1670999.0,-315000.0,False,True,,74.32,33.44
4772,台特化,314.0,2.25,5.9,3.16,14.76,55.8,0,289.7,-406450.0,0.0,-843469.0,-40000.0,False,True,,59.15,26.62
6877,鏵友益,130.5,1.33,5.24,13.51,1.37,65.0,1,-68.4,127000.0,0.0,39000.0,0.0,False,True,,52.76,23.74
6679,鈺太,267.0,1.21,2.1,8.14,2.05,63.8,1,7.2,70180.0,-2000.0,105080.0,-2000.0,False,True,,51.53,23.19
3551,世禾科技,196.5,2.16,2.88,10.27,9.51,62.0,0,13.0,-305000.0,0.0,-115000.0,-295000.0,False,True,,48.42,21.79
3526,凡甲科技,291.5,1.89,-0.17,1.59,3.5,56.0,0,18.8,-19000.0,0.0,-44900.0,0.0,False,True,,47.38,21.32
4909,新復興,64.1,1.86,-1.69,7.29,4.96,60.6,0,2.7,-1631800.0,0.0,-330800.0,0.0,False,True,,47.05,21.17
5309,系統電子,58.3,1.69,2.82,-0.89,3.37,47.7,0,-6.0,-102000.0,-4000.0,146010.0,-30000.0,False,True,,46.32,20.84
6121,新普科技,350.0,1.42,-0.28,1.88,1.96,54.4,0,4.6,-37097.0,-60238.0,-48097.0,-143986.0,False,True,,44.9,20.2
3236,千如電機,34.5,1.28,1.92,12.86,3.63,62.0,0,13.1,-929000.0,0.0,-1923000.0,0.0,False,True,,43.95,19.78
7703,銳澤,243.0,1.14,2.1,13.97,1.4,63.1,0,-11.6,-28000.0,0.0,236000.0,0.0,False,True,,43.4,19.53
3293,鈊象電子,747.0,1.16,-1.58,0.5,14.77,49.8,0,17.8,-46570.0,-206000.0,125483.0,-524000.0,False,True,,43.26,19.47
8042,金山電子,64.6,1.89,-0.62,16.58,6.92,65.4,0,20.5,-497080.0,0.0,-1123580.0,0.0,False,True,,41.78,18.8
6127,九豪精密,47.4,1.7,-1.56,16.94,28.09,62.5,0,10.0,-5854000.0,0.0,-1389989.0,0.0,False,True,,41.3,18.59
4533,協易機械,31.45,1.6,-0.94,-1.89,1.28,49.7,0,29.2,-1071000.0,0.0,-726999.0,0.0,False,True,,24.24,10.91
5328,華容,26.6,1.31,0.95,3.29,2.99,55.3,0,8.3,-862000.0,0.0,-1040950.0,0.0,False,True,,22.39,10.08
3105,穩懋,446.5,0.87,-2.3,25.11,145.2,67.5,0,34.2,-2773527.0,-31000.0,-10328735.0,37105.0,False,False,,,
8299,群聯電子,1630.0,1.35,-7.39,-6.11,208.37,45.8,0,221.5,-3736980.0,-486234.0,-4320227.0,-316324.0,False,False,,,
3260,威剛科技,368.5,0.96,-1.99,-2.14,81.75,50.2,0,181.5,-5189435.0,-891000.0,-3819498.0,-2950284.0,False,False,,,
6274,台燿科技,946.0,0.75,10.0,56.06,77.77,83.0,9,72.3,321121.0,559000.0,1846126.0,399113.0,False,False,,,
6147,頎邦科技,106.0,0.42,-6.19,40.92,23.27,69.5,1,11.5,1604200.0,-2184009.0,2899196.0,-871761.0,False,False,,,
3163,波若威,1210.0,0.24,0.83,31.16,7.37,69.7,6,23.7,187300.0,-80000.0,356373.0,-166000.0,False,False,,,
6223,旺矽科技,4605.0,1.1,0.99,22.92,48.6,72.6,1,38.6,28483.0,-80000.0,-114093.0,-33350.0,False,False,,,
3491,昇達科技,1740.0,0.62,0.58,17.36,23.05,60.7,1,36.2,63120.0,12000.0,-319738.0,-5741.0,False,False,,,
3131,弘塑科技,3220.0,0.76,-1.98,25.2,23.52,67.5,1,0.3,101284.0,-8000.0,56600.0,35000.0,False,False,,,
3264,欣銓科技,187.0,0.81,0.0,17.85,41.28,66.0,1,27.0,3271850.0,-266509.0,-2815617.0,37101.0,False,False,,,
8027,鈦昇,156.0,0.92,9.86,25.97,16.23,64.6,0,-9.6,-581949.0,0.0,-587069.0,0.0,False,False,,,
5347,世界先進,127.5,1.08,2.41,7.45,24.85,55.1,3,7.3,6242276.0,-4076895.0,13871990.0,-12816973.0,False,False,,,
1815,富喬,112.0,0.55,-2.18,5.46,68.21,54.4,1,33.0,-107519.0,108000.0,5371314.0,-4520979.0,False,False,,,
3324,雙鴻科技,972.0,0.67,0.73,-1.57,30.16,48.7,2,91.7,8179.0,-145000.0,-777362.0,-357454.0,False,False,,,
7734,印能科技,2430.0,0.91,-2.41,21.79,4.01,64.9,0,66.0,-16075.0,0.0,42779.0,-4000.0,False,False,,,
3211,順達科技,348.0,0.74,-0.57,4.48,19.71,52.8,0,76.3,-18100.0,-67000.0,-2553566.0,-2736238.0,False,False,,,
5475,德宏工業,323.0,1.32,2.22,41.15,19.1,77.0,1,105.1,-795815.0,35000.0,252717.0,35000.0,False,False,,,
3529,力旺電子,3370.0,0.78,1.05,24.13,31.37,71.6,4,30.4,-95092.0,214000.0,-99082.0,522358.0,False,False,,,
8096,擎亞,95.4,0.63,0.32,11.97,13.73,60.9,1,-4.8,289750.0,0.0,349392.0,0.0,False,False,,,
6488,環球晶,516.0,1.26,2.99,14.09,53.53,66.0,8,0.1,3387653.0,911922.0,4335066.0,2836755.0,False,False,,,
5351,鈺創科技,67.9,0.56,-0.73,-0.85,8.0,50.1,1,399.6,779020.0,-20000.0,-1864440.0,-20000.0,False,False,,,
6588,東典光電,146.0,1.24,1.74,34.08,11.9,68.5,1,146.2,24000.0,0.0,-266000.0,0.0,False,False,,,
6788,華景電,389.0,0.69,-0.77,6.91,8.43,56.5,0,2.3,-240000.0,0.0,851700.0,0.0,False,False,,,
4749,新應材,911.0,0.9,-0.87,1.73,16.8,55.2,1,32.7,129251.0,-36000.0,653304.0,-70844.0,False,False,,,
7717,萊德光電-KY,893.0,0.75,-0.78,24.62,7.07,63.9,0,,-3268.0,0.0,-207168.0,0.0,False,False,,,
6727,亞泰金屬,375.0,0.69,-1.32,26.34,0.82,66.7,0,30.6,-18000.0,0.0,-180005.0,0.0,False,False,,,
6640,均華,1730.0,0.63,-1.42,40.21,10.43,78.3,2,250.1,-20000.0,1000.0,-18881.0,108000.0,False,False,,,
6290,良維科技,222.5,1.02,1.83,3.21,21.94,56.2,2,16.5,1424405.0,0.0,13990.0,58000.0,False,False,,,
8069,元太,150.5,0.88,0.33,1.01,8.36,49.6,9,1.3,-84936.0,24186.0,994433.0,174994.0,False,False,,,
5289,宜鼎,1140.0,0.91,-3.39,10.86,41.72,59.0,5,484.8,-129390.0,54000.0,-1265056.0,663435.0,False,False,,,
6291,沛亨半導,424.0,1.18,3.41,22.49,12.92,64.7,0,43.4,-266000.0,0.0,-70257.0,0.0,False,False,,,
8086,宏捷科技,134.0,0.58,-1.47,2.15,5.68,52.6,0,47.9,-800980.0,0.0,-3469444.0,0.0,False,False,,,
4577,達航科技,141.5,0.72,-2.08,36.31,4.08,73.8,0,83.1,-216000.0,0.0,-148000.0,0.0,False,False,,,
3455,由田新技,182.0,0.17,-1.09,31.51,2.47,73.3,0,-83.6,-125000.0,0.0,-649855.0,0.0,False,False,,,
3265,台星科,169.0,0.93,-3.7,17.49,9.79,67.7,0,25.3,-1089500.0,0.0,-2840450.0,0.0,False,False,,,
5483,中美晶,122.0,1.09,0.0,6.45,13.24,58.7,6,9.2,2879118.0,-133224.0,7907366.0,-226184.0,False,False,,,
5340,建榮工業,114.0,0.5,-1.72,3.28,6.37,54.7,1,18.5,1037500.0,0.0,477371.0,0.0,False,False,,,
8091,翔名科技,185.0,0.61,3.06,22.52,2.06,74.3,0,61.8,-1399.0,0.0,-113641.0,0.0,False,False,,,
6643,M31,486.0,0.92,0.21,3.34,5.33,54.8,3,-24.9,32000.0,-2000.0,462015.0,-2000.0,False,False,,,
8064,東捷科技,75.1,0.56,-0.92,14.96,7.6,59.2,1,27.2,1024600.0,0.0,-9931365.0,0.0,False,False,,,
4768,晶呈科技,484.0,0.64,0.41,4.81,6.61,55.3,1,154.5,369130.0,0.0,-363029.0,0.0,False,False,,,
6190,萬泰科技,61.8,0.4,0.0,13.7,4.66,60.6,1,11.9,711000.0,0.0,-2407920.0,0.0,False,False,,,
6217,中國探針,218.0,0.16,0.0,29.54,6.1,66.0,1,15.4,170250.0,0.0,-2104235.0,2000.0,False,False,,,
4991,環宇-KY,606.0,0.27,-2.42,44.05,5.34,76.2,3,40.0,-106517.0,3000.0,4573.0,363000.0,False,False,,,
3693,營邦,603.0,0.74,-3.21,20.88,18.51,64.8,0,-24.8,-45800.0,0.0,19412.0,-36000.0,False,False,,,
6231,系微,253.5,0.63,-2.5,3.42,2.05,52.1,1,14.5,189000.0,0.0,216000.0,0.0,False,False,,,
3689,湧德,136.0,0.63,-1.81,17.53,7.8,65.0,2,41.8,1053000.0,0.0,1355000.0,0.0,False,False,,,
7751,竑騰,1965.0,0.7,0.51,25.3,4.87,70.7,1,,15000.0,0.0,-19045.0,81000.0,False,False,,,
3374,精材,172.0,1.14,-2.55,3.26,10.62,54.4,1,14.2,-781975.0,1000.0,1553025.0,-509084.0,False,False,,,
4971,IET-KY,680.0,0.77,-2.3,28.9,2.48,67.4,0,16.0,-3921.0,0.0,323154.0,0.0,False,False,,,
3680,家登,402.0,0.78,-0.62,2.7,9.18,52.2,0,-23.4,-550769.0,0.0,-1866768.0,-413337.0,False,False,,,
6163,華電聯網,61.1,0.76,-2.08,5.04,2.86,52.3,0,69.4,-318900.0,0.0,-1549700.0,0.0,False,False,,,
7547,碩網,70.4,0.52,1.0,3.77,0.1,51.6,0,,-14000.0,0.0,-30000.0,0.0,False,False,,,
4908,前鼎光電,141.0,0.73,-1.05,29.54,11.73,73.2,0,6.0,-1011003.0,0.0,-643830.0,0.0,False,False,,,
5498,凱崴,63.0,0.43,-1.1,5.83,6.14,55.4,2,47.7,1112205.0,0.0,-3342534.0,0.0,False,False,,,
4966,譜瑞-KY,530.0,0.62,-1.67,4.6,4.07,56.2,0,3.4,-182494.0,-5000.0,-719014.0,-12000.0,False,False,,,
5443,均豪精密,115.0,0.59,-1.71,11.51,10.62,66.6,0,64.0,-2533100.0,0.0,-4515190.0,135000.0,False,False,,,
5314,世紀*,77.9,0.84,0.52,1.45,2.44,47.6,3,132.5,281080.0,3000.0,776080.0,3000.0,False,False,,,
4931,新盛力,138.0,1.02,-1.08,0.89,6.38,49.4,0,36.1,-326000.0,0.0,-938000.0,0.0,False,False,,,
6509,聚和國際,44.95,0.48,-1.32,2.76,1.58,54.5,1,7.2,32972.0,-8000.0,-855628.0,-16000.0,False,False,,,
5291,邑昇,74.5,0.56,-1.46,13.5,1.28,60.1,0,41.6,-64000.0,0.0,-566000.0,0.0,False,False,,,
7728,光焱科技,841.0,0.64,-1.18,10.72,2.82,56.6,0,-18.5,-1008.0,0.0,12892.0,0.0,False,False,,,
6568,宏觀,210.0,0.69,3.45,2.9,1.8,53.0,1,65.9,188100.0,0.0,121950.0,0.0,False,False,,,
4760,勤凱,266.0,0.87,-0.75,31.73,4.65,73.0,1,72.3,68900.0,0.0,164187.0,0.0,False,False,,,
