stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,reject_reason,early_reject_reason
3162,精確,61.0,1.11,3.74,7.56,1.43,61.0,3,-29.4,750495.0,0.0,2622495.0,0.0,True,True,20.75,74.05,通過強勢篩選,通過預警篩選
3526,凡甲科技,291.0,1.57,4.11,1.48,2.0,56.3,1,-15.4,39000.0,0.0,-64960.0,0.0,True,True,9.67,46.06,通過強勢篩選,通過預警篩選
6584,南俊國際,596.0,0.88,4.56,28.28,0.97,66.4,15,52.7,86000.0,0.0,191010.0,0.0,True,False,68.65,,通過強勢篩選,量比0.88；MA28乖離28.3%
3105,穩懋,407.0,0.75,8.24,23.87,151.67,66.5,7,25.9,2796293.0,638500.0,8531704.0,6473500.0,True,False,53.0,,通過強勢篩選,量比0.75；漲幅8.2%；MA28乖離23.9%
3211,順達科技,357.0,0.66,7.53,11.76,23.61,59.2,11,76.3,539001.0,460290.0,-1593601.0,754290.0,True,False,52.03,,通過強勢篩選,量比0.66；漲幅7.5%
6664,群翊,359.5,1.87,1.41,24.83,18.81,75.8,5,12.7,70950.0,0.0,751950.0,0.0,True,False,43.61,,通過強勢篩選,MA28乖離24.8%
4971,IET-KY,602.0,0.15,6.74,23.28,4.26,64.3,3,43.1,127010.0,0.0,311813.0,0.0,True,False,37.71,,通過強勢篩選,量比0.15；漲幅6.7%；MA28乖離23.3%
6217,中國探針,200.0,3.97,3.9,42.16,63.81,70.1,1,42.9,-4102111.0,115000.0,-4045000.0,115000.0,True,False,37.21,,通過強勢篩選,量比3.97；MA28乖離42.2%
6147,頎邦科技,89.8,1.95,6.9,40.0,98.3,73.6,2,5.2,-9310515.0,9713565.0,-11867715.0,12598129.0,True,False,37.13,,通過強勢篩選,漲幅6.9%；MA28乖離40.0%
3081,聯亞,2005.0,0.84,9.86,32.58,61.27,69.5,4,89.3,-401146.0,83000.0,206552.0,737000.0,True,False,34.06,,通過強勢篩選,量比0.84；漲幅9.9%；MA28乖離32.6%
6291,沛亨半導,376.0,1.12,6.52,17.39,8.79,62.1,2,43.4,-204929.0,50000.0,-136929.0,69000.0,True,False,30.27,,通過強勢篩選,漲幅6.5%
6223,旺矽科技,3920.0,0.67,4.12,16.3,29.01,63.5,3,45.5,81193.0,25000.0,-111419.0,250700.0,True,False,29.15,,通過強勢篩選,量比0.67
3086,華義國際,335.0,2.71,9.12,27.87,1.65,78.6,2,-18.5,5910.0,0.0,61910.0,0.0,True,False,28.26,,通過強勢篩選,漲幅9.1%；MA28乖離27.9%
7717,萊德光電-KY,800.0,1.11,9.44,15.31,12.23,60.4,1,,16901.0,0.0,30913.0,0.0,True,False,27.82,,通過強勢篩選,漲幅9.4%
6693,廣閎科,118.5,1.03,9.72,21.84,1.4,74.7,2,111.9,182000.0,0.0,123000.0,0.0,True,False,27.29,,通過強勢篩選,量比1.03；漲幅9.7%；MA28乖離21.8%
6274,台燿科技,683.0,0.8,9.98,25.09,69.49,68.1,4,27.3,90697.0,867000.0,3554133.0,1999000.0,True,False,26.49,,通過強勢篩選,量比0.80；漲幅10.0%；MA28乖離25.1%
6568,宏觀,223.5,0.87,5.18,16.24,2.43,62.6,1,11.2,132000.0,0.0,107970.0,0.0,True,False,24.36,,通過強勢篩選,量比0.87
3587,閎康科技,236.5,1.1,4.19,10.42,2.07,58.3,3,6.5,44903.0,0.0,71903.0,0.0,True,False,24.05,,通過強勢篩選,未通過預警
6739,竹陞科技,1415.0,0.38,9.69,26.6,3.56,68.3,2,87.8,11000.0,0.0,64999.0,75000.0,True,False,20.91,,通過強勢篩選,量比0.38；漲幅9.7%；MA28乖離26.6%
3293,鈊象電子,775.0,0.64,2.65,6.4,9.75,60.0,4,19.2,289657.0,55000.0,184774.0,364000.0,True,False,20.74,,通過強勢篩選,量比0.64
5340,建榮工業,109.5,1.15,8.42,0.65,6.65,53.6,3,10.4,817100.0,0.0,2400100.0,0.0,True,False,18.15,,通過強勢篩選,漲幅8.4%
5347,世界先進,121.0,1.21,10.0,1.8,28.23,52.0,6,-9.5,4490103.0,375000.0,-5842214.0,1476033.0,True,False,18.01,,通過強勢篩選,漲幅10.0%
3491,昇達科技,1640.0,0.71,9.7,13.34,30.64,60.5,2,57.1,203985.0,133000.0,-31646.0,124000.0,True,False,16.37,,通過強勢篩選,量比0.71；漲幅9.7%
8086,宏捷科技,138.0,1.9,9.96,7.68,16.59,59.7,3,47.9,2823727.0,0.0,4581727.0,0.0,True,False,16.09,,通過強勢篩選,漲幅10.0%
6261,久元電子,79.2,2.2,10.0,11.07,1.91,65.5,1,-5.5,155001.0,0.0,335001.0,0.0,True,False,15.74,,通過強勢篩選,漲幅10.0%
3689,湧德,124.0,1.69,9.73,11.19,7.24,59.5,1,41.8,102000.0,0.0,164000.0,0.0,True,False,12.97,,通過強勢篩選,漲幅9.7%
5289,宜鼎,978.0,3.58,2.19,2.16,76.72,52.0,1,484.8,-2902643.0,287300.0,-3146145.0,265300.0,True,False,12.3,,通過強勢篩選,量比3.58
6903,巨漢,300.0,1.33,7.53,1.03,3.65,53.0,1,236.2,175000.0,0.0,-26100.0,-65000.0,True,False,11.94,,通過強勢篩選,漲幅7.5%
4760,勤凱,207.0,1.3,9.81,10.0,3.49,58.4,1,72.3,378400.0,0.0,113400.0,0.0,True,False,11.12,,通過強勢篩選,漲幅9.8%
4903,聯光通信,44.95,0.65,2.51,1.96,1.74,51.7,2,103.5,437000.0,0.0,153000.0,0.0,True,False,10.02,,通過強勢篩選,量比0.65
3363,上詮,660.0,0.89,10.0,7.03,3.75,57.1,1,27.7,70363.0,0.0,-140518.0,0.0,True,False,7.53,,通過強勢篩選,量比0.89；漲幅10.0%
6548,長科*,47.25,0.56,2.72,0.28,1.52,49.0,1,12.1,49000.0,0.0,-482500.0,-409000.0,True,False,5.3,,通過強勢篩選,量比0.56
5904,寶雅國際,505.0,0.45,1.51,0.31,0.84,56.4,1,22.9,40653.0,-3000.0,-86166.0,159000.0,True,False,4.0,,通過強勢篩選,量比0.45
5425,台半,58.6,2.06,9.94,0.28,4.57,51.0,1,-10.8,1716000.0,0.0,1742000.0,0.0,True,False,2.77,,通過強勢篩選,漲幅9.9%
3693,營邦,498.0,1.3,4.73,7.15,4.58,55.0,1,-49.0,-76000.0,90.0,-316000.0,90.0,False,True,,22.71,技術不足1/2,通過預警篩選
8436,大江,124.5,1.15,-1.97,-0.75,1.08,44.9,2,0.2,81560.0,-2220.0,-109440.0,-3440.0,False,True,,73.45,技術不足0/2,通過預警篩選
8299,群聯電子,1570.0,0.7,0.96,-11.66,81.7,41.8,0,169.4,-19987.0,-411308.0,-2077049.0,-485564.0,False,False,,,技術不足0/2,量比0.70
3260,威剛科技,363.0,1.5,0.41,1.36,85.81,49.7,2,181.5,-5838268.0,156069.0,-10985715.0,185069.0,False,False,,,技術不足1/2,未通過預警
3163,波若威,1045.0,2.58,9.77,26.15,112.96,66.8,3,5.3,-1010070.0,1259000.0,-109684.0,1820000.0,False,False,,,連停排除,漲幅9.8%；MA28乖離26.2%
5274,信驊,11470.0,0.67,-1.88,8.25,26.48,57.8,21,63.6,-36069.0,8100.0,-79762.0,89800.0,False,False,,,技術不足1/2,量比0.67
3131,弘塑科技,3150.0,0.72,1.94,41.27,30.39,84.2,7,51.8,11484.0,46000.0,320552.0,114000.0,False,False,,,技術不足1/2,量比0.72；MA28乖離41.3%
8358,金居開發,243.5,0.67,5.87,-2.68,31.33,49.1,2,51.1,3188065.0,51000.0,2876471.0,-459000.0,False,False,,,技術不足0/2,量比0.67
3264,欣銓科技,156.0,0.58,-3.11,2.87,16.61,52.4,10,22.5,-2703533.0,1042601.0,-3979918.0,2474252.0,False,False,,,技術不足0/2,量比0.58；漲幅-3.1%
6683,雍智科技,1480.0,0.57,2.07,31.8,22.92,66.6,5,45.3,-150885.0,53000.0,-805021.0,574000.0,False,False,,,技術不足1/2,量比0.57；MA28乖離31.8%
8027,鈦昇,151.5,0.83,-1.94,34.21,19.04,72.0,0,62.8,-811885.0,0.0,-1071855.0,0.0,False,False,,,技術不足1/2,量比0.83；MA28乖離34.2%
1815,富喬,102.0,0.91,5.59,-3.28,29.52,49.6,1,60.8,6318922.0,-201000.0,1372376.0,-2054000.0,False,False,,,技術不足1/2,量比0.91
1785,光洋科技,89.8,0.44,1.93,11.26,17.5,57.3,1,62.9,154000.0,7000.0,-8625900.0,-316000.0,False,False,,,技術不足0/2,量比0.44
3324,雙鴻科技,918.0,0.8,0.88,-9.28,29.03,41.6,0,91.7,-324416.0,-216400.0,-89293.0,-253900.0,False,False,,,技術不足0/2,量比0.80
7734,印能科技,2325.0,0.58,-1.06,28.04,14.82,73.4,0,55.6,-4045.0,0.0,-197954.0,370000.0,False,False,,,技術不足1/2,量比0.58；MA28乖離28.0%
5475,德宏工業,271.0,1.43,9.94,30.18,23.77,71.8,1,65.0,-848662.0,711000.0,1376677.0,977000.0,False,False,,,連停排除,漲幅9.9%；MA28乖離30.2%
6510,精測,3325.0,0.67,5.06,-5.45,16.1,48.4,1,25.5,32652.0,38100.0,84049.0,51500.0,False,False,,,技術不足1/2,量比0.67
3529,力旺電子,2795.0,0.89,6.27,8.79,24.99,59.1,2,30.4,108473.0,-69700.0,152516.0,-274700.0,False,False,,,技術不足1/2,量比0.89
8096,擎亞,94.0,0.92,5.38,18.3,19.27,64.6,1,-43.3,1271966.0,0.0,3586170.0,0.0,False,False,,,技術不足1/2,量比0.92
6488,環球晶,412.0,0.79,0.61,-7.32,9.83,40.5,2,-17.4,290002.0,-144479.0,-10765.0,-1747921.0,False,False,,,技術不足0/2,量比0.79
5351,鈺創科技,64.6,1.43,-2.27,-1.43,9.27,47.6,0,311.0,-2881862.0,0.0,-7874816.0,-30000.0,False,False,,,技術不足0/2,未通過預警
6588,東典光電,130.0,0.53,-0.76,27.58,6.42,66.4,0,8.5,-68000.0,0.0,-506097.0,0.0,False,False,,,技術不足1/2,量比0.53；MA28乖離27.6%
6788,華景電,376.5,0.72,0.8,6.76,4.83,56.1,0,9.3,-239000.0,0.0,118200.0,0.0,False,False,,,技術不足1/2,量比0.72
4749,新應材,811.0,0.52,1.25,-9.58,6.34,40.7,1,40.6,50030.0,-123000.0,-181830.0,-249000.0,False,False,,,技術不足0/2,量比0.52
5536,聖暉*,688.0,0.76,-1.57,-1.91,7.47,46.8,0,2.7,-156862.0,-89800.0,219173.0,-314800.0,False,False,,,技術不足0/2,量比0.76
6727,亞泰金屬,354.5,2.28,-0.98,36.6,17.27,69.9,0,482.4,-273970.0,0.0,-224970.0,0.0,False,False,,,未通過,MA28乖離36.6%
5439,高技企業,278.5,0.68,0.72,-0.5,7.39,47.7,1,62.6,67000.0,-769000.0,-891000.0,484000.0,False,False,,,技術不足0/2,量比0.68
6640,均華,1330.0,0.51,-3.27,26.59,6.41,66.8,0,52.0,-17633.0,0.0,-216033.0,118000.0,False,False,,,技術不足0/2,量比0.51；漲幅-3.3%；MA28乖離26.6%
6290,良維科技,204.0,0.84,6.25,-5.27,8.88,48.7,1,14.5,-151985.0,340.0,-160530.0,-344060.0,False,False,,,技術不足0/2,量比0.84
6187,萬潤,920.0,0.61,2.79,28.56,5.36,67.1,0,15.7,-49000.0,0.0,454000.0,0.0,False,False,,,未通過,量比0.61；MA28乖離28.6%
8069,元太,142.5,0.53,0.35,-8.45,4.21,40.5,3,0.6,24194.0,20653.0,1644941.0,217657.0,False,False,,,技術不足0/2,量比0.53
4577,達航科技,106.0,1.1,-0.93,13.14,5.25,60.4,0,79.9,-960000.0,0.0,-1875000.0,0.0,False,False,,,技術不足1/2,量比1.10
3455,由田新技,152.5,0.55,9.71,23.32,1.94,72.5,0,-40.4,-10000.0,0.0,506000.0,0.0,False,False,,,未通過,量比0.55；漲幅9.7%；MA28乖離23.3%
3265,台星科,144.0,0.54,0.35,3.98,2.92,55.9,0,25.3,-136780.0,0.0,-326211.0,250000.0,False,False,,,技術不足1/2,量比0.54
5483,中美晶,106.0,0.61,0.0,-7.0,4.83,41.1,3,-8.1,-1256681.0,16856.0,-2904867.0,321712.0,False,False,,,技術不足0/2,量比0.61
3221,台灣嘉碩,35.0,0.36,-1.69,8.32,1.95,54.6,1,-3.8,180000.0,0.0,-1039000.0,0.0,False,False,,,技術不足0/2,量比0.36
4772,台特化,283.0,0.51,2.17,-8.97,2.14,41.0,1,272.8,66050.0,0.0,-482600.0,-32000.0,False,False,,,技術不足0/2,量比0.51
8091,翔名科技,166.5,1.59,3.74,17.03,3.77,70.0,0,13.7,-511000.0,0.0,-709000.0,0.0,False,False,,,未通過,未通過預警
6643,M31,463.0,0.62,-1.7,-0.28,3.86,49.0,0,1.8,-165000.0,0.0,-290000.0,-523.0,False,False,,,技術不足0/2,量比0.62
4979,華星光,404.5,0.76,5.34,2.11,4.77,54.5,4,-10.0,107003.0,0.0,379253.0,0.0,False,False,,,技術不足1/2,量比0.76
6127,九豪精密,39.0,0.38,-3.35,-1.1,2.52,48.2,0,-18.6,-155000.0,0.0,-7934100.0,0.0,False,False,,,技術不足0/2,量比0.38；漲幅-3.3%
8064,東捷科技,64.8,0.91,-1.82,9.77,4.13,54.5,0,28.7,-1466965.0,0.0,-2599965.0,0.0,False,False,,,技術不足0/2,量比0.91
4768,晶呈科技,435.0,0.46,0.93,-4.93,3.08,47.2,1,93.6,81000.0,0.0,-97990.0,0.0,False,False,,,技術不足0/2,量比0.46
6190,萬泰科技,55.5,0.87,4.32,7.34,5.54,57.1,2,-3.1,2735000.0,0.0,-1893100.0,0.0,False,False,,,技術不足1/2,量比0.87
3152,璟德電子,159.0,2.51,1.92,10.68,6.98,61.7,0,-15.7,-168600.0,0.0,-503750.0,0.0,False,False,,,未通過,未通過預警
4991,環宇-KY,470.5,1.32,8.16,26.3,6.3,67.0,6,7.7,286849.0,148000.0,688935.0,288000.0,False,False,,,技術不足1/2,漲幅8.2%；MA28乖離26.3%
6231,系微,268.0,0.91,-0.37,16.48,3.78,62.4,0,12.7,-139000.0,0.0,-364000.0,0.0,False,False,,,技術不足1/2,量比0.91
7751,竑騰,1830.0,1.85,9.91,31.5,5.12,69.7,3,,14950.0,-100000.0,71600.0,-96000.0,False,False,,,連停排除,漲幅9.9%；MA28乖離31.5%
3374,精材,156.5,0.74,1.29,-7.82,2.61,43.7,1,15.7,235050.0,2000.0,553200.0,-62000.0,False,False,,,技術不足0/2,量比0.74
3680,家登,377.0,0.9,0.53,-4.18,3.3,44.2,1,24.8,-96980.0,500.0,-558980.0,500.0,False,False,,,技術不足0/2,量比0.90
6163,華電聯網,61.4,1.03,3.19,8.91,3.65,54.1,0,136.5,-663250.0,0.0,-523250.0,0.0,False,False,,,未通過,量比1.03
7547,碩網,75.5,0.3,-2.2,17.57,0.49,60.0,0,,-7000.0,0.0,25002.0,0.0,False,False,,,成交額不足,量比0.30
4908,前鼎光電,103.5,0.62,2.48,2.49,1.96,53.4,2,13.3,127000.0,0.0,-6000.0,0.0,False,False,,,技術不足1/2,量比0.62
5498,凱崴,54.5,0.9,1.87,-8.43,2.52,44.5,1,43.8,77000.0,0.0,38750.0,0.0,False,False,,,技術不足0/2,量比0.90
4966,譜瑞-KY,475.0,0.68,2.48,-6.69,1.99,38.3,3,3.4,-19670.0,4000.0,-85523.0,28000.0,False,False,,,技術不足1/2,量比0.68
5443,均豪精密,101.0,0.71,1.2,3.31,2.39,54.2,2,18.0,202000.0,0.0,94000.0,0.0,False,False,,,技術不足1/2,量比0.71
5314,世紀*,78.9,0.63,4.78,-0.15,3.42,49.1,3,136.8,646550.0,3000.0,1065600.0,3000.0,False,False,,,技術不足1/2,量比0.63
4931,新盛力,131.0,0.67,0.38,-5.28,2.96,44.1,2,-10.8,18000.0,0.0,-166000.0,0.0,False,False,,,技術不足0/2,量比0.67
6509,聚和國際,43.0,0.86,-3.7,1.16,2.46,51.7,0,-10.2,-333700.0,0.0,-2607700.0,0.0,False,False,,,技術不足0/2,量比0.86；漲幅-3.7%
8155,博智,278.0,1.69,9.88,21.44,4.68,63.6,0,28.4,-211000.0,0.0,-359000.0,0.0,False,False,,,未通過,漲幅9.9%；MA28乖離21.4%
5291,邑昇,66.8,0.49,-7.09,9.48,1.98,55.5,2,-0.2,45000.0,0.0,-169000.0,0.0,False,False,,,技術不足0/2,量比0.49；漲幅-7.1%
6530,創威,95.5,1.67,7.06,15.76,4.45,62.9,0,15.3,-486781.0,0.0,-193781.0,0.0,False,False,,,未通過,漲幅7.1%
7728,光焱科技,721.0,0.78,-2.17,-5.57,1.52,47.7,0,52.0,-11751.0,0.0,-27751.0,0.0,False,False,,,技術不足0/2,量比0.78
6462,神盾,101.0,1.03,-7.34,-3.88,1.23,46.0,0,32.9,-171000.0,0.0,424000.0,0.0,False,False,,,技術不足0/2,量比1.03；漲幅-7.3%
3498,陽程,72.1,0.86,-0.96,7.04,1.93,56.8,0,115.9,-270500.0,0.0,524500.0,0.0,False,False,,,技術不足0/2,量比0.86
3663,鑫科,66.2,0.58,0.0,-1.43,1.01,46.9,3,133.7,11000.0,0.0,493330.0,0.0,False,False,,,技術不足0/2,量比0.58
6244,茂迪,25.45,0.64,0.99,-17.33,1.08,38.3,3,-17.9,904135.0,0.0,3050135.0,0.0,False,False,,,技術不足0/2,量比0.64
6182,合晶科技,30.9,0.63,-1.28,-8.93,0.99,38.3,1,-1.6,311001.0,0.0,-2243989.0,0.0,False,False,,,技術不足0/2,量比0.63
3234,光環,87.1,0.86,4.81,-0.97,1.71,52.4,2,-27.2,582900.0,0.0,508100.0,0.0,False,False,,,技術不足1/2,量比0.86
3289,宜特科技,128.0,0.67,-0.78,-3.45,1.69,46.5,0,-7.4,-38000.0,0.0,206035.0,0.0,False,False,,,技術不足0/2,量比0.67
4743,合一,54.5,0.92,-0.18,0.43,0.99,49.0,0,128.8,-200000.0,0.0,13833.0,0.0,False,False,,,技術不足1/2,量比0.92
3339,泰谷光電,41.35,1.31,5.62,26.68,3.7,67.2,0,31.8,-68000.0,0.0,-478000.0,0.0,False,False,,,未通過,MA28乖離26.7%
5371,中強光電,72.7,0.61,-1.76,-8.58,1.24,35.9,0,11.7,-67000.0,0.0,398006.0,0.0,False,False,,,技術不足0/2,量比0.61
6725,矽科宏晟,267.0,0.87,1.91,8.69,1.53,56.0,0,,-105000.0,0.0,-201000.0,0.0,False,False,,,技術不足1/2,量比0.87
4147,中裕,55.1,0.75,-3.5,5.2,0.6,53.4,0,2.9,-154000.0,0.0,258000.0,0.0,False,False,,,成交額不足,量比0.75；漲幅-3.5%
6188,廣明光電,86.9,0.67,1.64,-7.74,0.79,36.8,4,-12.9,567082.0,-125000.0,1202732.0,-125000.0,False,False,,,成交額不足,量比0.67
4123,晟德,40.95,0.86,-1.8,-5.93,0.77,43.2,3,-21.1,-906000.0,5000.0,-615000.0,124000.0,False,False,,,成交額不足,量比0.86
6265,方土昶,36.0,0.84,-1.77,-8.98,1.23,42.1,0,309.9,-127040.0,0.0,223960.0,0.0,False,False,,,技術不足0/2,量比0.84
3357,臺慶科,143.0,0.68,1.42,-9.98,1.08,41.8,1,-3.4,51050.0,240.0,-304950.0,240.0,False,False,,,技術不足0/2,量比0.68
6547,高端疫苗,59.3,0.68,0.85,32.93,1.1,75.1,0,-25.2,-9300.0,0.0,1074200.0,0.0,False,False,,,技術不足1/2,量比0.68；MA28乖離32.9%
5309,系統電子,56.0,0.51,0.0,-7.87,0.69,37.8,1,-3.4,14020.0,0.0,-354970.0,0.0,False,False,,,成交額不足,量比0.51
6227,茂綸,89.5,0.64,-2.51,5.05,0.58,56.9,0,-27.9,-101000.0,0.0,132000.0,0.0,False,False,,,成交額不足,量比0.64；漲幅-2.5%
3205,佰研生化,59.3,0.35,-2.63,11.8,0.5,67.3,1,26.9,66000.0,0.0,-96000.0,0.0,False,False,,,成交額不足,量比0.35；漲幅-2.6%
8088,品安科技,48.7,0.5,-2.01,-7.58,0.67,42.0,0,32.4,-399999.0,0.0,-282999.0,0.0,False,False,,,成交額不足,量比0.50
8932,智通*,81.9,0.56,2.25,-29.41,0.67,26.4,1,14.8,59000.0,0.0,-480975.0,0.0,False,False,,,成交額不足,量比0.56
7709,榮田,67.4,0.28,-1.17,13.24,0.52,57.9,0,-6.1,-59000.0,0.0,151000.0,0.0,False,False,,,成交額不足,量比0.28
5386,青雲國際,303.5,1.21,9.96,3.6,2.17,54.1,1,1025.4,90999.0,0.0,-12001.0,0.0,False,False,,,技術不足1/2,漲幅10.0%
6419,京晨科,89.8,0.43,-4.57,9.56,0.25,55.9,0,37.6,-39999.0,0.0,14001.0,0.0,False,False,,,成交額不足,量比0.43；漲幅-4.6%
7810,捷創科技,235.5,0.32,1.51,6.35,0.33,51.3,2,,20000.0,0.0,137010.0,0.0,False,False,,,成交額不足,量比0.32
3227,原相科技,182.5,0.52,1.39,-5.45,0.76,41.3,3,-13.8,101000.0,14300.0,67050.0,73300.0,False,False,,,成交額不足,量比0.52
6877,鏵友益,119.0,0.81,2.15,8.51,0.83,58.7,2,-62.3,5000.0,0.0,176000.0,0.0,False,False,,,技術不足1/2,量比0.81
4542,科嶠,156.5,0.55,1.62,-6.08,0.74,46.5,3,-41.7,80100.0,0.0,156200.0,0.0,False,False,,,成交額不足,量比0.55
6138,茂達電子,211.0,0.95,0.72,-5.93,0.71,39.2,0,16.4,-78000.0,0.0,-303000.0,0.0,False,False,,,成交額不足,量比0.95
3709,鑫聯大投控,65.2,0.64,2.84,-4.83,0.6,47.6,2,-23.0,25000.0,0.0,7000.0,0.0,False,False,,,成交額不足,量比0.64
3615,安可光電,31.95,0.79,-1.84,-1.56,0.44,50.7,0,-43.5,-39000.0,0.0,-409000.0,0.0,False,False,,,成交額不足,量比0.79
8936,國統國際,50.2,0.96,-1.76,-4.75,1.2,39.8,0,25.4,-499000.0,0.0,-2257001.0,0.0,False,False,,,技術不足0/2,量比0.96
8054,安國國際,90.4,0.77,-1.74,-11.91,0.94,33.4,4,155.3,174000.0,0.0,361030.0,0.0,False,False,,,技術不足0/2,量比0.77
3707,漢磊,48.95,0.58,1.35,-12.39,0.75,36.9,1,13.4,99000.0,0.0,-988000.0,0.0,False,False,,,成交額不足,量比0.58
6761,穩得,158.5,0.75,-0.31,-2.87,0.94,48.0,0,-34.8,-38900.0,0.0,-184900.0,0.0,False,False,,,技術不足0/2,量比0.75
3317,尼克森,50.1,0.43,-0.4,4.61,0.46,56.3,1,3.7,116001.0,0.0,-117998.0,0.0,False,False,,,成交額不足,量比0.43
7703,銳澤,217.0,0.87,-3.12,3.67,0.43,52.3,0,20.4,-83000.0,0.0,-13100.0,0.0,False,False,,,成交額不足,量比0.87；漲幅-3.1%
4549,桓達,106.5,1.19,9.79,12.45,0.45,67.7,0,-42.0,-57000.0,0.0,-3000.0,0.0,False,False,,,成交額不足,漲幅9.8%
5452,佶優科技,32.3,0.9,2.87,-3.66,0.66,47.0,1,-31.4,359110.0,0.0,-52890.0,0.0,False,False,,,成交額不足,量比0.90
3236,千如電機,29.6,0.44,-2.95,-2.28,0.33,46.9,0,-2.8,-95000.0,0.0,-743000.0,0.0,False,False,,,成交額不足,量比0.44；漲幅-3.0%
3178,公準,64.9,0.74,2.04,14.73,0.22,68.0,3,-36.0,25000.0,0.0,64000.0,0.0,False,False,,,成交額不足,量比0.74
6173,信昌電陶,57.6,0.56,0.88,-9.81,0.37,37.8,1,-2.4,155001.0,0.0,-401999.0,0.0,False,False,,,成交額不足,量比0.56
6143,振曜科技,95.7,0.9,0.63,-4.58,0.57,37.8,0,17.3,-246999.0,0.0,-744999.0,0.0,False,False,,,成交額不足,量比0.90
8431,匯鑽科,55.3,0.9,-1.07,-15.97,0.55,36.5,0,1.7,-66999.0,0.0,-220799.0,0.0,False,False,,,成交額不足,量比0.90
3552,同致電子,53.7,0.24,-3.07,8.13,0.27,55.6,0,-1.0,-56000.0,0.0,-131000.0,0.0,False,False,,,成交額不足,量比0.24；漲幅-3.1%
6151,晉倫科技,32.7,0.41,0.0,7.08,0.11,61.2,1,-27.3,57000.0,0.0,94000.0,0.0,False,False,,,成交額不足,量比0.41
8043,蜜望實,63.6,0.58,-0.93,-11.1,0.42,33.5,2,26.2,188000.0,0.0,-73000.0,0.0,False,False,,,成交額不足,量比0.58
4105,東洋藥品,74.2,0.94,0.82,-7.2,0.67,29.4,3,-12.1,423703.0,0.0,941753.0,0.0,False,False,,,成交額不足,量比0.94
8111,立碁電子,60.6,0.92,3.41,-6.4,0.69,43.9,1,-9.0,47000.0,0.0,51000.0,0.0,False,False,,,成交額不足,量比0.92
