stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score
6667,信紘科,276.0,2.49,6.36,10.28,7.22,68.6,2,41.3,561949.0,0.0,557915.0,0.0,True,True,25.4,85.03,52.23
5536,聖暉*,822.0,1.82,4.31,15.09,44.43,66.9,2,60.1,2711287.0,-328000.0,3265371.0,-289685.0,True,True,27.15,76.9,49.54
8111,立碁電子,70.7,1.65,2.91,10.79,6.72,63.3,4,-8.5,1013000.0,0.0,2768400.0,0.0,True,True,27.33,75.7,49.1
4743,合一,54.6,1.52,2.82,2.38,1.24,51.0,4,128.8,383800.0,0.0,583850.0,0.0,True,True,18.5,84.9,48.38
3217,優群科技,162.0,2.58,3.51,4.06,3.19,60.6,3,4.9,-60150.0,43000.0,-57150.0,55000.0,True,True,19.78,80.88,47.28
3357,臺慶科,168.5,1.96,2.43,8.71,10.27,59.8,2,12.1,253300.0,0.0,480488.0,0.0,True,True,19.24,78.19,45.77
8289,泰藝電子,42.95,2.08,6.44,16.85,4.58,64.7,2,1.9,640600.0,0.0,614600.0,0.0,True,True,31.33,51.85,40.56
3227,原相科技,190.5,1.55,0.0,0.08,2.38,50.4,3,-5.4,62840.0,3000.0,311033.0,4574.0,True,True,10.59,76.0,40.02
4123,晟德,41.55,1.76,3.23,-2.36,2.23,49.6,9,55.6,1080000.0,4000.0,548552.0,11000.0,False,True,0.0,81.41,36.63
4903,聯光通信,49.1,1.58,3.04,9.18,6.49,60.8,1,25.3,53001.0,0.0,-1391999.0,0.0,True,True,16.46,54.29,33.48
5371,中強光電,75.2,1.19,1.21,-2.12,2.93,45.1,3,7.8,229999.0,-235000.0,1670999.0,-315000.0,False,True,0.0,74.32,33.44
8358,金居開發,333.5,1.83,5.71,32.29,266.48,72.5,8,42.8,8041959.0,1373000.0,13803789.0,3885000.0,True,False,54.28,0.0,29.85
4772,台特化,314.0,2.25,5.9,3.16,14.76,55.8,0,289.7,-406450.0,0.0,-843469.0,-40000.0,False,True,0.0,59.15,26.62
6683,雍智科技,1910.0,0.21,6.41,45.86,4.5,74.9,5,45.3,81303.0,-8000.0,137645.0,-8000.0,True,False,48.34,0.0,26.59
6877,鏵友益,130.5,1.33,5.24,13.51,1.37,65.0,1,-68.4,127000.0,0.0,39000.0,0.0,False,True,0.0,52.76,23.74
6679,鈺太,267.0,1.21,2.1,8.14,2.05,63.8,1,7.2,70180.0,-2000.0,105080.0,-2000.0,False,True,0.0,51.53,23.19
3551,世禾科技,196.5,2.16,2.88,10.27,9.51,62.0,0,13.0,-305000.0,0.0,-115000.0,-295000.0,False,True,0.0,48.42,21.79
3526,凡甲科技,291.5,1.89,-0.17,1.59,3.5,56.0,0,18.8,-19000.0,0.0,-44900.0,0.0,False,True,0.0,47.38,21.32
3152,璟德電子,172.5,2.17,9.87,18.79,6.35,66.1,6,-1.0,295500.0,0.0,432500.0,0.0,True,False,38.51,0.0,21.18
4909,新復興,64.1,1.86,-1.69,7.29,4.96,60.6,0,2.7,-1631800.0,0.0,-330800.0,0.0,False,True,0.0,47.05,21.17
5274,信驊,13875.0,0.86,6.69,22.59,36.64,71.0,3,63.6,15246.0,12602.0,-102099.0,57734.0,True,False,38.12,0.0,20.97
5309,系統電子,58.3,1.69,2.82,-0.89,3.37,47.7,0,-6.0,-102000.0,-4000.0,146010.0,-30000.0,False,True,0.0,46.32,20.84
5439,高技企業,396.5,0.81,9.99,35.27,41.37,75.0,7,60.3,1873988.0,426000.0,4660338.0,3496000.0,True,False,37.8,0.0,20.79
6121,新普科技,350.0,1.42,-0.28,1.88,1.96,54.4,0,4.6,-37097.0,-60238.0,-48097.0,-143986.0,False,True,0.0,44.9,20.2
3236,千如電機,34.5,1.28,1.92,12.86,3.63,62.0,0,13.1,-929000.0,0.0,-1923000.0,0.0,False,True,0.0,43.95,19.78
3221,台灣嘉碩,41.55,1.34,9.92,23.45,6.37,63.2,4,-4.5,2058000.0,0.0,3939900.0,0.0,True,False,35.55,0.0,19.55
7703,銳澤,243.0,1.14,2.1,13.97,1.4,63.1,0,-11.6,-28000.0,0.0,236000.0,0.0,False,True,0.0,43.4,19.53
3293,鈊象電子,747.0,1.16,-1.58,0.5,14.77,49.8,0,17.8,-46570.0,-206000.0,125483.0,-524000.0,False,True,0.0,43.26,19.47
8042,金山電子,64.6,1.89,-0.62,16.58,6.92,65.4,0,20.5,-497080.0,0.0,-1123580.0,0.0,False,True,0.0,41.78,18.8
6127,九豪精密,47.4,1.7,-1.56,16.94,28.09,62.5,0,10.0,-5854000.0,0.0,-1389989.0,0.0,False,True,0.0,41.3,18.59
6173,信昌電陶,76.3,1.83,4.09,20.16,17.02,70.3,2,12.7,4280260.0,0.0,3959260.0,0.0,True,False,32.09,0.0,17.65
1785,光洋科技,140.0,2.94,0.36,49.89,115.43,82.0,1,95.6,5674592.0,108000.0,5172122.0,108000.0,True,False,31.83,0.0,17.51
6419,京晨科,124.0,3.12,2.06,39.19,2.43,76.6,1,174.2,199000.0,0.0,193000.0,0.0,True,False,30.9,0.0,17.0
6187,萬潤,1135.0,3.16,9.66,39.07,100.21,72.6,2,19.6,-1623601.0,704000.0,-1754466.0,702434.0,True,False,30.45,0.0,16.75
3339,泰谷光電,57.3,0.73,9.98,53.41,4.43,82.6,1,54.1,101000.0,0.0,638400.0,0.0,True,False,29.54,0.0,16.25
6613,朋億*,245.5,1.73,4.25,19.78,3.06,74.4,1,65.2,175000.0,-5714.0,115100.0,61022.0,True,False,28.58,0.0,15.72
3081,聯亞,2315.0,1.33,6.44,36.19,110.3,71.2,1,89.3,210082.0,-345000.0,-519789.0,-739225.0,True,False,28.42,0.0,15.63
8155,博智,358.5,0.81,9.97,41.13,16.04,76.4,2,32.9,672140.0,0.0,939174.0,-10000.0,True,False,28.32,0.0,15.58
6739,竹陞科技,1625.0,1.26,9.8,31.95,24.96,71.5,2,87.8,-129302.0,20000.0,-408869.0,58000.0,True,False,27.72,0.0,15.25
8043,蜜望實,85.6,2.54,0.71,18.92,21.49,68.0,1,170.5,476000.0,0.0,-948000.0,0.0,True,False,26.04,0.0,14.32
4979,華星光,533.0,1.36,9.9,31.95,66.86,72.3,1,20.2,1843196.0,0.0,1459098.0,-212000.0,True,False,24.95,0.0,13.72
6175,立敦科技,62.4,1.32,9.86,28.88,8.59,72.8,2,18.9,1787000.0,0.0,2564050.0,0.0,True,False,24.8,0.0,13.64
4721,美琪瑪,85.6,1.57,6.6,19.01,3.41,78.2,2,121.1,567999.0,0.0,-21001.0,0.0,True,False,24.71,0.0,13.59
6664,群翊,430.0,1.1,7.63,38.41,17.85,79.1,1,22.9,327970.0,0.0,-105100.0,36000.0,True,False,23.31,0.0,12.82
6530,創威,104.5,1.29,10.0,19.23,8.71,65.5,1,10.6,2483500.0,0.0,1567500.0,0.0,True,False,22.03,0.0,12.12
4533,協易機械,31.45,1.6,-0.94,-1.89,1.28,49.7,0,29.2,-1071000.0,0.0,-726999.0,0.0,False,True,0.0,24.24,10.91
6510,精測,3605.0,2.06,7.29,3.86,55.7,55.4,2,25.5,387838.0,-33200.0,457416.0,-311584.0,True,False,18.93,0.0,10.41
3363,上詮,822.0,1.19,9.89,25.81,45.57,67.9,1,-25.7,705081.0,0.0,-464558.0,22000.0,True,False,18.39,0.0,10.11
5328,華容,26.6,1.31,0.95,3.29,2.99,55.3,0,8.3,-862000.0,0.0,-1040950.0,0.0,False,True,0.0,22.39,10.08
6146,耕興,212.5,1.75,3.66,7.15,2.69,68.4,1,6.5,95000.0,0.0,480000.0,0.0,True,False,15.3,0.0,8.42
5864,致和證,25.35,1.28,1.81,3.85,0.81,57.8,2,,854000.0,0.0,1337000.0,0.0,True,False,12.45,0.0,6.85
3691,碩禾,120.0,1.98,-3.61,5.48,4.62,55.8,2,168.9,418000.0,0.0,506000.0,0.0,True,False,10.53,0.0,5.79
6244,茂迪,29.6,2.43,9.83,0.81,6.36,55.8,3,5.1,1231806.0,0.0,4579509.0,0.0,True,False,9.92,0.0,5.46
